virus,sequencer,error tolerance,faulty cells,tp,fp,fn
measles,pacbio,2,262144,2,0,998
sars-cov-2,illumina,2,262144,0,0,1000
sars-cov-2,roche,2,262144,0,0,1000
sars-cov-2,pacbio,2,262144,1,1,998
rotavirus,illumina,2,262144,0,0,1000
rotavirus,roche,2,262144,0,0,1000
rotavirus,pacbio,2,262144,1,2,997
influenza,illumina,3,262144,0,0,1000
influenza,roche,3,262144,0,0,1000
influenza,pacbio,3,262144,1,0,999
lassa,illumina,3,262144,0,1,999
lassa,roche,3,262144,0,0,1000
lassa,pacbio,3,262144,0,1,999
measles,illumina,3,262144,0,1,999
measles,roche,3,262144,0,0,1000
measles,pacbio,3,262144,0,1,999
sars-cov-2,illumina,3,262144,2,1,997
sars-cov-2,roche,3,262144,0,0,1000
sars-cov-2,pacbio,3,262144,1,2,997
rotavirus,illumina,3,262144,0,0,1000
rotavirus,roche,3,262144,0,0,1000
rotavirus,pacbio,3,262144,2,0,998
influenza,illumina,4,262144,65,56,883
influenza,roche,4,262144,214,0,786
influenza,pacbio,4,262144,21,76,908
lassa,illumina,4,262144,23,28,951
lassa,roche,4,262144,0,11,989
lassa,pacbio,4,262144,34,37,931
measles,illumina,4,262144,2,65,934
measles,roche,4,262144,0,1,999
measles,pacbio,4,262144,1,83,918
sars-cov-2,illumina,4,262144,28,34,939
sars-cov-2,roche,4,262144,0,0,1000
sars-cov-2,pacbio,4,262144,15,38,947
rotavirus,illumina,4,262144,0,31,969
rotavirus,roche,4,262144,0,54,946
rotavirus,pacbio,4,262144,0,39,961
influenza,illumina,5,262144,108,65,832
influenza,roche,5,262144,662,157,295
influenza,pacbio,5,262144,113,60,831
lassa,illumina,5,262144,0,167,839
lassa,roche,5,262144,0,346,682
lassa,pacbio,5,262144,0,143,859
measles,illumina,5,262144,31,148,826
measles,roche,5,262144,16,1,983
measles,pacbio,5,262144,33,135,840
sars-cov-2,illumina,5,262144,39,124,842
sars-cov-2,roche,5,262144,0,0,1000
sars-cov-2,pacbio,5,262144,45,130,833
rotavirus,illumina,5,262144,0,93,910
rotavirus,roche,5,262144,0,73,928
rotavirus,pacbio,5,262144,0,102,904
